won,frame,person,file,x,y,w,h
WON02439036,530,data/facedb2/timmermans__WON02443799__616.png,data/frames/WON02439036/WON02439036__530.png,1119,372,203,303
WON02439042,680,data/facedb2/timmermans__WON02443799__616.png,data/frames/WON02439042/WON02439042__680.png,1066,365,221,314
WON02439256,1037,data/facedb2/baudet__WON02443802__938.png,data/frames/WON02439256/WON02439256__1037.png,1285,0,366,444
WON02440061,517,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__517.png,427,109,380,515
WON02440061,493,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02440061/WON02440061__493.png,653,226,294,441
WON02440061,504,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02440061/WON02440061__504.png,1054,159,308,424
WON02440061,503,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02440061/WON02440061__503.png,1020,166,310,424
WON02440061,497,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02440061/WON02440061__497.png,440,174,311,425
WON02440061,524,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__524.png,467,142,354,521
WON02440061,515,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__515.png,475,177,365,517
WON02440061,505,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02440061/WON02440061__505.png,1017,170,308,419
WON02440061,512,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__512.png,353,138,353,492
WON02440061,519,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__519.png,508,145,347,513
WON02440061,518,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__518.png,476,144,361,514
WON02440061,495,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02440061/WON02440061__495.png,595,234,329,404
WON02440061,499,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02440061/WON02440061__499.png,374,217,348,463
WON02440061,501,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02440061/WON02440061__501.png,1030,149,307,427
WON02440061,496,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02440061/WON02440061__496.png,448,183,352,448
WON02440061,502,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02440061/WON02440061__502.png,1022,161,309,424
WON02440061,494,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02440061/WON02440061__494.png,548,235,340,392
WON02440061,526,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__526.png,474,146,365,519
WON02440061,522,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__522.png,454,147,357,523
WON02440061,523,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__523.png,482,223,373,529
WON02440061,248,data/facedb2/baudet__WON02443802__938.png,data/frames/WON02440061/WON02440061__248.png,655,252,269,401
WON02440061,513,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__513.png,385,124,353,504
WON02440061,498,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02440061/WON02440061__498.png,541,199,308,437
WON02440061,525,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__525.png,463,142,349,523
WON02440061,514,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__514.png,407,117,351,489
WON02440061,521,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__521.png,487,123,349,523
WON02440061,492,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02440061/WON02440061__492.png,704,226,286,441
WON02440061,516,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02440061/WON02440061__516.png,453,136,353,532
WON02440256,190,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__190.png,567,202,397,567
WON02440256,191,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__191.png,569,200,396,565
WON02440256,198,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__198.png,564,197,397,571
WON02440256,194,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__194.png,569,223,403,569
WON02440256,199,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__199.png,579,185,398,572
WON02440256,189,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__189.png,571,185,391,576
WON02440256,196,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__196.png,572,191,393,568
WON02440256,195,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__195.png,569,203,394,561
WON02440256,491,data/facedb2/vanderplas__WON02443711__2897.png,data/frames/WON02440256/WON02440256__491.png,818,367,208,252
WON02440256,192,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__192.png,556,187,386,563
WON02440256,188,data/facedb2/jetten__WON02439236__768.png,data/frames/WON02440256/WON02440256__188.png,572,177,384,566
WON02440256,187,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__187.png,601,217,388,550
WON02440256,200,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__200.png,584,201,411,586
WON02440256,197,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__197.png,557,198,398,579
WON02440256,193,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02440256/WON02440256__193.png,560,212,402,565
WON02440490,76,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02440490/WON02440490__76.png,680,227,298,447
WON02440490,172,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02440490/WON02440490__172.png,933,111,355,488
WON02440490,158,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02440490/WON02440490__158.png,933,128,361,530
WON02440490,116,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02440490/WON02440490__116.png,540,208,324,486
WON02440490,331,data/facedb2/omtzigt__WON02443711__3044.png,data/frames/WON02440490/WON02440490__331.png,724,174,291,403
WON02440490,164,data/facedb2/timmermans__WON02443711__1324.png,data/frames/WON02440490/WON02440490__164.png,897,117,353,502
WON02440490,110,data/facedb2/yesilguz__WON02443711__452.png,data/frames/WON02440490/WON02440490__110.png,574,189,332,477
WON02440490,163,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02440490/WON02440490__163.png,915,117,360,519
WON02440490,175,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02440490/WON02440490__175.png,948,110,357,519
WON02440490,115,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02440490/WON02440490__115.png,501,167,331,486
