label,string
PVV,"pvv wilders ""partij voor de vrijheid"""
GL/PvdA,groenlinks  pvda timmermans
VVD,"vvd yesil* jezielkus jezilkus jezookus jezelke jezielguz jezook jezielges jezelcoos jezielkes jezielges jezielkus jezelkus jeziekos jezelges jezielko jezugus jezikus jezzelrus jezielbus jezelkus jezelguz ""jezzel goes"" jezugus jezogus jezebiel jezelguz jezielgus jezugus jezuikus jezielgus jezilgus"
NSC,"nsc omtzigt ""nieuw sociaal contract"""
D66,d66 jetten
BBB,"bbb ""van der plas"" ""boer burger beweging"" ""boer burgerbeweging"" ""boerburgerbeweging"""
CDA,cda bontenbal
SP,"""de sp"" marijnissen"
Denk,"""van baarle"" ""denk partij*""~5 ""denk politiek*"" ""denk lijsttrekker""~5"
PvdD,"pvdd ouwehand ""partij voor de dieren"""
FvD,"fvd baudet ""forum voor democratie"""
SGP,sgp stoffer
CU,"cu bikker ""christen unie"""
Volt,volt dassen
JA21,ja21 eerdmans
