pub,speakernum,speaker,coder,order
ditisdedag2023-11-06,SPEAKER_00,n,n,2
ditisdedag2023-11-06,SPEAKER_01,yesilgoz,n,1
ditisdedag2023-11-06,SPEAKER_02,n,n,2
ditisdedag2023-11-06,SPEAKER_03,n,n,2
ditisdedag2023-11-06,SPEAKER_04,n,n,2
ditisdedag2023-11-06,SPEAKER_05,n,n,2
ditisdedag2023-11-15,SPEAKER_00,n,n,2
ditisdedag2023-11-15,SPEAKER_02,n,n,2
ditisdedag2023-11-15,SPEAKER_03,n,n,2
ditisdedag2023-11-15,SPEAKER_04,n,n,2
ditisdedag2023-11-15,SPEAKER_05,n,n,2
ditisdedag2023-11-15,SPEAKER_06,n,n,2
ditisdedag2023-11-15,SPEAKER_07,n,n,2
ditisdedag2023-11-15,SPEAKER_08,bikker,n,1
journaal2023-11-11,SPEAKER_01,n,n,2
journaal2023-11-11,SPEAKER_03,n,n,2
journaal2023-11-11,SPEAKER_04,n,n,2
journaal2023-11-11,SPEAKER_05,n,n,2
journaal2023-11-11,SPEAKER_06,n,n,2
journaal2023-11-11,SPEAKER_07,n,n,2
journaal2023-11-11,SPEAKER_08,n,n,2
journaal2023-11-11,SPEAKER_09,n,n,2
journaal2023-11-11,SPEAKER_10,n,n,2
journaal2023-11-11,SPEAKER_100,n,n,2
journaal2023-11-11,SPEAKER_101,n,n,2
journaal2023-11-11,SPEAKER_102,n,n,2
journaal2023-11-11,SPEAKER_103,n,n,2
journaal2023-11-11,SPEAKER_104,n,n,2
journaal2023-11-11,SPEAKER_105,n,n,2
journaal2023-11-11,SPEAKER_106,n,n,2
journaal2023-11-11,SPEAKER_107,n,n,2
journaal2023-11-11,SPEAKER_108,n,n,2
journaal2023-11-11,SPEAKER_11,n,n,2
journaal2023-11-11,SPEAKER_13,n,n,2
journaal2023-11-11,SPEAKER_14,n,n,2
journaal2023-11-11,SPEAKER_15,n,n,2
journaal2023-11-11,SPEAKER_16,n,n,2
journaal2023-11-11,SPEAKER_17,n,n,2
journaal2023-11-11,SPEAKER_18,n,n,2
journaal2023-11-11,SPEAKER_19,n,n,2
journaal2023-11-11,SPEAKER_20,n,n,2
journaal2023-11-11,SPEAKER_22,n,n,2
