won,speakernum,start,end,spreker,majority_speaker,majority_perc,closest_speaker,closest_dist,text
WON02440979,SPEAKER_05,13.04753820033956,61.33276740237691,,,0.9274193548387096,,0.9878921270749389," Caroline Van Der Plas, Esther Ouwehand, Rob Jetten en de foto met Chidem Yüksel.

 Dat zijn de gasten van Buitenhof, zondag 12 november.

 Goedemiddag, welkom bij deze tweede Buitenhof-verkiezingspecial.

 We interviewen in de loop van deze week lijsttrekkers van verschillende

 politieke partijen, van klein naar groot in de peilingen.

 De eerste gast van vandaag is BBB-lijsttrekker Caroline Van Der

 Plas. Hartelijk welkom.

 Dank u wel.

 We zaten te kijken naar het NOS-journaal hier samen en de

 verschrikkelijke beelden die we zagen uit Gaza.

 Er is geen contact meer met het Al-Shifa ziekenhuis.

 Zoveel doden die daar dagelijks vallen.

 Vreselijk.

 Wat verwacht u op dit punt van de Nederlandse regering?"
WON02440979,SPEAKER_03,61.99490662139219,106.34125636672326,Caroline van der Plas,Caroline van der Plas,0.6829268292682927,Caroline van der Plas,0.5420259810858276," Er wordt steeds opgeroepen voor een staart uit vuren.

 Wij kunnen daartoe oproepen, maar het maakt ook dat Hamas en Hezbollah

 zich kunnen versterken.

 Dat is het dilemma.

 We moeten ook niet vergeten dat Hamas zijn eigen mensen als een

 menselijk schild gebruikt.

 Toen zij 7 oktober die gruwelijke slachtpartijen aanrichtten, wisten

 ze ook wat het antwoord van Israël erop zou zijn."
WON02440979,SPEAKER_05,104.18505942275041,114.30390492359933,,,0.9274193548387096,,0.9413121179445239," De situatie is nu wel dat er meer dan 4500 kinderen gedood zijn.

 Dat is verschrikkelijk."
WON02440979,SPEAKER_03,110.89134125636673,133.96434634974534,Caroline van der Plas,Caroline van der Plas,0.6829268292682927,Caroline van der Plas,0.5621197377644687," Is het dan niet tijd voor een staart uit vuren?

 Dat is het dilemma.

 Je kan oproepen tot een staart uit vuren, maar wat is daarvan het

 gevolg?

 Ik wil niet dat kinderen worden gebombardeerd.

 Maar als je zegt een staart uit vuren, kan Hamas zich versterken.

 En ze kunnen weer een enorme slachtpartij aanrichten."
WON02440979,SPEAKER_05,134.16808149405773,139.73684210526318,,,0.9274193548387096,Thierry Baudet,0.9555209208619643, Dan wordt het misschien nog veel erger.
WON02440979,SPEAKER_05,139.82173174872668,142.79286926994908,,,0.9274193548387096,Thierry Baudet,1.0734111599388685, Maar de Nederlandse regering moet niet een staart uit vuren.
WON02440979,SPEAKER_03,143.45500848896435,150.85738539898134,Caroline van der Plas,Caroline van der Plas,0.6829268292682927,Caroline van der Plas,0.7206855862799464," Ik weet niet of het verstandig is of de uitkomst daarvan gaat worden

 wat we hopen dat het gaat worden."
WON02440979,SPEAKER_05,151.92699490662142,190.00848896434636,,,0.9274193548387096,Thierry Baudet,0.9741677224672417," Laten we het hebben over wat er afsteekt.

 De binnenlandse zaken, de verkiezingsprogramma's, ook

 hartstikke belangrijk voor de komende verkiezingen.

 U was een van de verrassingen bij de vorige Tweede Kamerverkiezingen.

 Hoogtepunt voor u was de provinciale statenverkiezingen in

 maart, toen uw partij de grootste werd.

 Dat enorme succes lijkt wat ingeklonken.

 Maar ten opzichte van de kamerzetel die u heeft, staat de partij ook in

 de peilingen op flinke winst.

 Toen, in maart, was dat een soort sprookje waarin u terechtkwam?"
WON02440979,SPEAKER_03,190.00848896434636,206.13752122241087,Caroline van der Plas,Caroline van der Plas,0.6829268292682927,Caroline van der Plas,0.5937522719525452," Nou, een sprookje...

 Wij hadden wel gedacht dat wij in een aantal provincies de grootste

 zouden worden.

 Maar dat dat in alle provincies zou gebeuren, hadden wij niet voorzien.

 Dat zie je ook op de beelden van de eerste exitpoll van Noord-Holland."
WON02440979,SPEAKER_03,206.46010186757218,234.60950764006793,Caroline van der Plas,Caroline van der Plas,0.6829268292682927,Caroline van der Plas,0.5886333387201083," Een heel verstedelijk gebied.

 Dat we daar 14,2 procent haalden.

 Je ziet hoe ik reageer.

 Ik dacht van... Wat gebeurt hier?

 En als dit als Noord-Holland al zo is, wat brengt de rest van de avond?

 Het heeft ertoe geleid dat wij van de 12 provincies in 10 besturen zitten.

 In het IPO, het Proficiaal Overleg, zitten we overal in.

 In de waterschap zitten we overal."
WON02440979,SPEAKER_03,237.00339558573856,246.0356536502547,Caroline van der Plas,Caroline van der Plas,0.6829268292682927,Caroline van der Plas,0.7874050584783693," Dus daar heeft u echt een deuk in een pakje boter geslagen.

 Nou, niet.

 Volgens mij is dat dat je niks bereikt.

 Je slaat geen deuk in een pakje boter."
