id,title,publisher,date,text,year,month,week
42790989,De geest van Rutte leeft voort in de nieuwe VVD-leider Yeşilgöz,NOS.nl,2023-11-17,"Dilan Yeşilgöz moet Mark Rutte doen vergeten, maar vooralsnog lijkt ze opvallend veel op haar politieke voorganger.",2023-01-01,2023-11-01,2023-11-13
42791000,"Wilders is vaak spijkerhard, soms ook een vaderlijke mentor",NOS.nl,2023-11-14,"PVV-leider Geert Wilders is met 33 jaar het langstzittende Kamerlid. Hij is bekend van de 'kopvoddentaks' en zijn Marokkanen-uitspraak, maar soms laat hij ook zijn zachte kant zien.",2023-01-01,2023-11-01,2023-11-13
42791005,'Gelekt Israël-memo ambassade nieuw signaal verdeeldheid bij overheid',NOS.nl,2023-11-14,"Een uitgelekt memo van de Nederlandse ambassade in Tel Aviv, waarin kritiek wordt geuit op Israël, is het derde voorbeeld in korte tijd dat duidt op kritiek binnen het ministerie van Buitenlandse Zaken op de Nederlandse steun aan Israël. Dat zeggen experts tegen de NOS

NRC berichtte maandagavond over het memo. Daarin staat dat het Israëlische leger ""de intentie heeft om bewust enorme vernietiging aan te richten aan de infrastructuur en civiele centra"" in Gaza. Grote aantallen burgerslachtoffers worden voor lief genomen en dat is in strijd met het oorlogsrecht, aldus het memorandum.

Naar buiten draagt het kabinet vooral steun voor Israël uit. Maar inmiddels is het memo het derde interne stuk dat bij de krant terechtkwam.

'Heel opmerkelijk'

Peter Malcontent, historicus aan de Universiteit Utrecht en Israël-deskundige, noemt het ""heel opmerkelijk"" dat het memo is uitgelekt. ""Het rommelt altijd wel op dit thema binnen het ministerie. Op ambassades is men het vaker oneens met de lijn van ministers"", zegt Malcontent, die zelf onderzoek deed naar de relatie tussen Israël en Nederland. ""Maar dit document en de brief die recent is ondertekend laten wel zien dat die onenigheid groter is dan ooit.""

Hij verwijst naar de noodkreet van een groep rijksambtenaren vorige maand over Nederlandse 'medeplichtigheid'.

Het vertrouwelijke memo waar NRC over schreef is opgesteld door de defensieattaché van de ambassade. In de rapportage staat volgens de krant dat de Israëlische politieke en militaire top geen duidelijke strategie hebben.

De Israëlische wens om definitief af te rekenen met Hamas wordt ""een militair doel dat vrijwel onmogelijk te behalen is"" genoemd. Het offensief is volgens de opstellers vooral bedoeld als militaire krachtvertoning in de nasleep van de terreuraanval op 7 oktober, die Israëlische inlichtingendiensten niet zagen aankomen.

Kamerdebat op komst

Over het lek bij Buitenlandse Zaken zegt oud-diplomaat Berber van der Woude: ""Medewerkers moeten gedacht hebben: de enige manier om nog druk uit te oefenen is via de pers en de Tweede Kamer.""

Zij werkte dertien jaar voor Buitenlandse Zaken, onder meer in de Palestijnse gebieden, en ze is actief voor The Rights Forum, een kenniscentrum dat opkomt voor de belangen van Palestijnen.

Ongeacht of er een strategie achter het uitlekken van het memo zat of niet: de politiek is bereikt. Een Kamermeerderheid wil een nieuw debat over de oorlog met de NRC-onthulling als aanleiding. Het is nog onduidelijk wanneer dat wordt gehouden.

De weerstand groeit tegen westerse overheden die zonder voorbehoud Israël steunen.

Het ministerie van Buitenlandse Zaken stelt een onderzoek in naar het lekken van de vertrouwelijke informatie. In een eerste reactie zei het ministerie dat niet elk intern stuk als beleidsadvies kan worden gezien.

Het stuk in de krant is een ""niet-faire weergave"", reageert demissionair minister Ollongren van Defensie tegenover de NOS. Ze zegt dat er mogelijk selectief uit het memo is geciteerd en is niet te spreken over de gang van zaken. Of er aangifte volgt is nog onduidelijk.

""Dit interne advies bevestigt wat deskundigen zien gebeuren"", duidt Erwin van Veen, Midden-Oostendeskundige van Instituut Clingendael het uitgelekte memo van de ambassade. ""Namelijk dat Israël een nietsontziende campagne voert, gedreven door wraak en zonder exitstrategie. Er komt steeds meer weerstand vanuit zowel het publiek als de ambtenarij tegen westerse overheden, die zonder voorbehoud hun steun uitspreken voor Israël.""

Macron: baby's worden gedood

De Franse president Macron heeft Israël opgeroepen tot een staakt-het-vuren. ""De facto worden baby's, vrouwen en oude mensen gebombardeerd en gedood"", zei hij afgelopen weekend tegen de BBC. Een heel andere toon dan die van demissionair premier Rutte, die vorige week zei dat premier Netanyahu ""moet laten zien dat wat zij doen ook proportioneel is"".

Beide EU-leiders hebben benadrukt dat Israël het recht heeft zichzelf te verdedigen tegen Hamas, maar Macron vindt dat Israël daarbij te ver is gegaan. Rutte hamert er steeds op dat Israël zich aan internationale regels moet houden, maar hij wil niet ""vanuit een leunstoel in Den Haag"" oordelen over hoe Israël de oorlog aanpakt.

Een week geleden meldde NRC al dat het kabinet ambtelijke waarschuwingen had genegeerd bij steun aan Israël. Nederland had de levering van onderdelen voor Israëlische F-35-gevechtsvliegtuigen niet tegengehouden. Vanuit het ministerie was gewaarschuwd dat Israël mogelijk het oorlogsrecht schendt met de luchtaanvallen op het dichtbevolkte Gaza.

En eind oktober schreef de krant op basis van interne communicatie dat Nederland in de VN neigde om tegen een motie voor een wapenstilstand in Gaza te stemmen. Na druk van Jordanië zou het kabinet uiteindelijk overstag zijn weggegaan: Nederland onthield zich van stemming.

'Geopolitieke belangen gaan voor'

De drie publicaties laten zien dat er intern een worsteling is over de lijn van Buitenlandse Zaken, zegt oud-diplomaat Van der Woude.

""Medewerkers maken zich zorgen over het selectief toepassen van het internationaal recht. Want Nederland profileert zich op vrede en recht, met het Vredespaleis en het Internationaal Strafhof.""

Maar de NRC-onthullingen maken volgens haar duidelijk dat geopolitieke afwegingen de boventoon voeren voor het demissionaire kabinet.",2023-01-01,2023-11-01,2023-11-13
42791013,Aardwarmte moet einde maken aan hoge gasprijs voor woningen,NOS.nl,2023-11-14,"Rob Koster

Economieverslaggever

Rob Koster

Economieverslaggever

De overheid is begonnen met proefboringen naar aardwarmte, voor de duurzame verwarming van woonwijken. Nu wordt 90 procent van alle huizen in Nederland nog verwarmd met behulp van aardgas. Een kwart van de huizen kan voor 2050 over op aardwarmte, denkt Energie Beheer Nederland (EBN), dat de proefboringen namens de overheid uitvoert.

Bij aardwarmte, ook wel geothermie genoemd, wordt op een diepte van rond de 2000 meter heet water gewonnen. De warmte wordt gebruikt voor warmtenetwerken en het water gaat weer de grond in via een tweede verbinding.

Anders dan bij gaswinning wordt de samenstelling van de bodem niet blijvend veranderd. De kans op aardbevingen is daarom gering. Een reëler gevaar is de verontreiniging van zoetwatervoorraden, die gebruikt worden voor drinkwater. Op plaatsen waar die liggen, mag niet naar aardwarmte worden geboord.

EBN brengt ""de witte vlekken"" in de Nederlandse bodem in kaart. In die gebieden is in het verleden nooit naar olie of gas gezocht, waardoor er nauwelijks kennis was van de samenstelling van de bodem.

De afgelopen jaren is er een eerste inventarisatie gemaakt met behulp van het zogenoemde 'seismiek schieten'. Met behulp van explosieven en meetapparatuur wordt dan een soort echo gemaakt, waardoor de verschillende lagen van de bodem zichtbaar worden.

De komende tijd wordt er op verschillende plaatsen met behulp van boortorens geboord naar heetwaterbronnen. De proefboringen moeten kennis opleveren over welke plekken in Nederland geschikt zijn om aardwarmte te gebruiken voor de verwarming van woningen en gebouwen. Het boren gebeurt nu onder meer in de buurt van Amsterdam.

In deze video zie je hoe de boring er van dichtbij uitziet.

In Den Haag worden in het zuiden van de stad al zo'n 2500 woningen verwarmd met behulp van aardwarmte. Het is de eerste plek in Nederland waar aardwarmte voor de verwarming van huizen gebruikt wordt. Het was een project van lange adem, maar inmiddels krijgen de bewoners duurzame warmte zonder dat ze een cv-ketel of een dure warmtepomp nodig hebben.

Bewoners waarvan het huis met behulp van aardwarmte wordt verwarmd, merkten daar in Den Haag niets van. De woningen waren al aangesloten op een bestaand warmtenetwerk van Eneco en het betekent alleen dat ze in plaats van een cv-ketel een compacte warmtewisselaar in de meterkast hebben.

Koppeling gas- en warmteprijs

De aanleg van warmtenetten is een kostbare langetermijninvestering. Het overleg tussen overheden en energiebedrijven loopt daardoor regelmatig vast. Het afgelopen jaar leidde de koppeling tussen de gasprijzen en de prijzen voor warmte tot onvrede bij bewoners en politici. Ook bij mensen die aangesloten waren op een warmtenetwerk ging de energierekening fors omhoog.

Minister Jetten voor Klimaat en Energie heeft in de nieuwe Warmtewet laten vastleggen dat toekomstige warmtenetten voor meer dan 50 procent in handen moeten zijn van de overheid. Gemeenten zijn dan de baas over het warmtenet en niet de commerciële energiebedrijven.

Ook heeft de minister besloten dat de koppeling tussen de gasprijs en de prijs voor warmte wordt losgelaten. EBN ziet dat als groot voordeel voor burgers die gebruik maken van een warmtenet. De prijs van aardwarmte kan in tegenstelling tot die van gas voor lange tijd worden vastgesteld. Consumenten hebben daardoor geen last meer van de extreme prijsschommelingen op de internationale gasmarkt.

Warmtenetten zorgen er ook voor dat er minder druk op het overvolle elektriciteitsnet komt. Woningen hoeven dan niet over op een elektrische warmtepomp.

Warmtewet in de maak

De warmtewet, die begin volgend jaar door de Tweede Kamer behandeld moet worden, veroorzaakt bij energiebedrijven onrust. Zij vragen zich af of ze nog genoeg te zeggen hebben over de warmtenetwerken om grote investeringen te doen. Sommige bedrijven hebben vanwege die onzekerheid hun deelname aan de ontwikkeling van warmtenetten voorlopig stilgelegd.

In de Tweede Kamer is weinig discussie over de noodzaak van warmtenetten en aardwarmte. De discussie zal vooral gaan over de uitvoering en de rol van gemeenten en energiebedrijven. De vraag is ook hoeveel geld de overheid aan subsidie verstrekt om de kosten van de warmte voor burgers betaalbaar te houden. Het uitgangspunt zal in ieder geval zijn dat burgers niet meer gaan betalen dan ze nu gemiddeld voor gas betalen.",2023-01-01,2023-11-01,2023-11-13
42791037,Kijk hier de Q&A met VVD-leider Yesilgöz terug,NOS.nl,2023-11-14,VVD-leider Dilan Yesilgöz beantwoordde vragen die gesteld werden op Instagram.,2023-01-01,2023-11-01,2023-11-13
42791075,Jongeren zien het liefst Timmermans als premier,NOS.nl,2023-11-15,"Isa Huizing

redacteur Binnenland

Isa Huizing

redacteur Binnenland

Voor de generatie boven de 55 jaar is gezondheidszorg het belangrijkste verkiezingsthema. Jongeren zetten de woningmarkt bovenaan als voornaamste onderwerp voor de campagne. Op plek twee komen de zorgen om rond te komen, in combinatie met de oplopende prijzen. 

Dat komt naar voren uit een representatief online onderzoek van Ipsos in opdracht van de NOS, Het onderzoek werd gefocust op jongeren van 18 tot en met 34 jaar, dus de generatie waarvan een deel nog met blokken speelde toen Mark Rutte in 2010 voor het eerst premier werd, en een ander deel juist toen voor het eerst mocht stemmen. 

Ipsos onderzocht niet alleen wat bij deze verkiezingen de belangrijkste thema's voor de jongere generatie zijn, ook wie zij na de verkiezingen het liefst in het Torentje zien en welke politici zij waarderen.

Doorslaggevende thema's

Klimaat is het derde thema bij deze groep, maar als jongeren aangeven welk onderwerp voor hen een grote rol speelt bij het kiezen van een partij, staat klimaat niet meer in de top-10. Bij de verkiezingen in 2021 was dit nog wel het geval.

Toch maken jongeren zich wel degelijk zorgen over het klimaat, zegt Sander Nieuwkerk, onderzoeker bij Ipsos. Zo blijkt uit het onderzoek dat 40 procent van hen vindt dat de klimaatverandering zich in een kritieke fase bevindt en de wereld nu moet handelen.

""Maar in deze campagne speelt het een minder grote rol dan bij de verkiezingen van 2021. En omdat niet alle partijen zich hier heel erg over uitspreken, vertaalt de zorg over het klimaat zich niet in de stemkeuze.""

Geldzorgen zijn voor jongeren het doorslaggevende onderwerp om op een bepaalde partij te stemmen. ""Hier zien we ook een combinatie met andere thema's. Studenten die moeite hebben om een kamer te vinden en zich ook zorgen maken om de hoge huurprijzen. Of bijvoorbeeld starters die wel een huis konden kopen, maar zich zorgen maken om de hoge energierekening"", legt Nieuwkerk uit.

Andere voorkeur

De jonge generatie heeft een andere voorkeur voor de nieuwe minister-president dan andere leeftijdsgroepen. Het liefst zouden zij lijsttrekker Frans Timmermans van GroenLinks-PvdA in het Torentje zien, terwijl stemmers boven de 35 juist voorkeur hebben voor Omtzigt (NSC).

Generatiebreed staat Yesilgöz van de VVD op de tweede plek. Op plek drie bij de jonge kiezer staat Wilders van de PVV, die ook de bekendste politicus onder jongeren is.

Op de grafiek hieronder zijn Timmermans (rood), Yesilgöz (blauw), Wilders (lichtblauw) en Omtzigt (geel) te zien: 

Politicoloog Roderik Rekker zegt dat het wel opvallend is dat Omtzigt het minder goed doet bij de jongeren, maar dat het hem ook niet verbaast. ""Nieuwe partijen doen het over het algemeen goed bij jonge kiezers. Maar christendemocraten zijn minder populair onder jongeren en de nieuwe partij van Omtzigt heeft daar toch veel overeenkomsten mee.""

De PvdA was onder jongeren ook niet populair. ""GroenLinks daarentegen wel, daarom is het niet heel verrassend dat Timmermans als leider van die nieuwe combinatie goed scoort.""

Hoger cijfer

In het onderzoek van Ipsos krijgen lijsttrekkers van links-progressieve partijen gemiddeld een hoger cijfer van jongeren dan van de rest van Nederland. Zo scoort Jetten (D66) relatief goed onder de jonge kiezer.

Hij krijgt een 5,8 ten opzichte van een 4,8 van heel Nederland. En ook Timmermans (GroenLinks-PvdA), Ouwehand (Partij voor de Dieren), Van Baarle (Denk) en Dassen (Volt) worden door jongeren beter beoordeeld.

Jongeren stemmen meestal op andere partijen dan de oudere generatie. ""Het is vaker zo dat jongeren op radicaal-progressieve partijen stemmen en minder vaak op de traditionele middenpartij. Dat komt ook doordat zij in een andere tijd politiek volwassen zijn geworden, toen al met de euro werd betaald, de samenleving multicultureel was en klimaatverandering hoger op de agenda is komen te staan"", zegt Rekker.

De cijfers in dit artikel komen uit een representatief online onderzoek dat door 2001 stemgerechtigde Nederlanders is ingevuld, van wie 477 in de leeftijdscategorie 18 tot en met 34.

Het onderzoek is uitgevoerd door onderzoeksbureau Ipsos in opdracht van de NOS. De gegevens zijn verzameld van 23 tot en met 25 oktober, net na het eerste tv-campagnemoment bij College Tour.",2023-01-01,2023-11-01,2023-11-13
42791078,"Loslippige Koeman, al een leven lang een omgekeerde politicus ",NOS.nl,2023-11-15,"Thierry Boon

redacteur Nederlands elftal in Zeist

Thierry Boon

redacteur Nederlands elftal in Zeist

""Zullen we afspreken dat als ik gestopt ben, we weer in deze setting gaan zitten en ik alles ga zeggen wat ik denk?""

Het is een opvallend einde van de persconferentie van Ronald Koeman, maandag in Zeist. De bondscoach doet een pikante belofte. Weliswaar met een knipoog, maar er zit meer achter die woorden.

Anno 2023 wordt zo ongeveer elke uitspraak onder een vergrootglas gelegd, nog maar een keer gewogen en vervolgens uitgebreid behandeld en becommentarieerd op sociale media, in kranten, online en op televisie en radio.

Dat stoort de zestigjarige Koeman. Aanleiding? Zijn kritische uitspraken over Brian Brobbey in het voetbalpraatprogramma Rondo. ""Het verbaast me dat het zo'n item is geworden"", aldus Koeman, met een vingertje wijzend naar de huidige maatschappij.

Een omgekeerde politicus

""Ik ben geen politicus die heel veel lult en weinig zegt, ik ben eigenlijk het omgekeerde"", stelt de coach van het Nederlands elftal. ""Ik wil nog weleens te veel zeggen. Dan krijg je hem weleens om de oren.""

Dat Koeman een 'omgekeerde politicus' is met zo nu en dan een onhandige uitspraak, blijkt al heel zijn voetballoopbaan. Het begint al als speler. ""Ajax is altijd mijn favoriete club geweest"", zegt de in Zaandam geboren Koeman, wanneer hij in 1983 FC Groningen als veelbelovend talent verruilt voor de hoofdstad.

Opvallend, want een paar jaar daarvoor laat hij nog weten dat juist Feyenoord zijn club is. En drie jaar na zijn transfer naar Ajax vertrekt hij naar concurrent PSV. Ook als trainer komt Koeman later in dienst van alle drie de topclubs.

Bij PSV wordt Koeman onderdeel van het succesteam dat in 1988 de Europa Cup 1, de huidige Champions League, wint. Al mist hij bijna de finale. Niet door een blessure, maar door een uitspraak in een interview.

Commotie na 'klasse actie'

Koeman spreekt zich in het tijdschrift Sport International lovend uit over een harde tackle van ploeggenoot Hans Gillhaus op Bordeaux-speler Jean Tigana in de kwartfinales van het Europese toernooi. ""Klasse actie"", oordeelt Koeman.

Het zorgt voor veel commotie. PSV schorst Koeman voor het competitieduel met Haarlem en legt hem een boete op van 10.000 gulden. Daar komt later de UEFA overheen.

De Europese voetbalbond wil Koeman ook Europees schorsen, waardoor hij een eventuele finale met PSV zou missen. ""Ik kan niet begrijpen dat Koeman met geweld pocht. Hij hoort een voorbeeld te zijn"", zegt het Franse slachtoffer Tigana over de zaak.

In hoger beroep kan Koeman opgelucht ademhalen: de straf wordt teruggebracht naar één duel. De PSV'er mag meedoen in de finale en staat na de strafschoppenserie tegen Benfica met de 'cup met de grote oren' in zijn handen.

Ook als trainer uit Koeman zich soms op controversiële wijze. Kritiek op scheidsrechters en bonden is hem niet vreemd. ""Ik voel dat het iets persoonlijks is"", zegt hij als coach van Barcelona tegen de Spaanse bond na een schorsing.

Zijn argumentatie ""Valencia is als een rijdende trein, die maar één keer in je leven voorbijkomt"" bij de keuze om in 2007 als trainer PSV in te ruilen voor de Spaanse zon, dan. Voor Koeman al snel een gepasseerd station, maar in de voetballerij is die uitspraak een oneliner geworden.

Ook vallen zijn open sollicitaties op, terwijl hij nog ergens anders werkt. ""Kijk, ik heb twee dromen"", vertelt hij in een interview als trainer van Everton. ""Bondscoach worden van Nederland is de eerste. Dat kon ook al, maar mijn contract bij Everton weerhield me ervan.""

""De andere droom is trainer worden van Barcelona. Dat is de waarheid. Maar nu ben ik volledig in dienst van Everton en dat blijft zo"", aldus Koeman. In Engeland wordt zijn eerlijkheid niet echt gewaardeerd.

'Schandalig voetbal' van Noord-Ierland

In zijn eerste termijn als bondscoach van Oranje is Koeman na het EK-kwalificatieduel met Noord-Ierland (3-1 winst) kritisch op de tegenstander. De woorden ""schandalig voetbal"" en ""verschrikkelijk om naar te kijken"" vallen.

De Noord-Ierse pers duikt erbovenop en vindt de uitspraken van Koeman respectloos. Bij de ontmoeting in Belfast een maand later voelt Koeman zich genoodzaakt zijn excuus aan te bieden. ""Als ik de verkeerde woorden heb gezegd, zeg ik sorry.""

Saai is het allerminst met Koeman. Vaak te eerlijk, soms te loslippig. Want hij weet dondersgoed dat alle camera's op hem zijn gericht. Ook nu weer in Zeist.

""Ik zou eigenlijk nog veel meer willen zeggen, niet alleen over voetbal. Zo'n Johan Derksen die elke dag op tv alles zegt, vind ik ook wel weer mooi. Want hij heeft in best veel dingen wel gelijk.""

Nu maar wachten totdat Koeman is gestopt.

Oranje speelt op zaterdag 18 november in de Johan Cruijff Arena tegen Ierland en op dinsdag 21 november staat het uitduel met Gibraltar op het programma. Beide duels, die beginnen om 20.45 uur, zijn live bij de NOS te volgen: op televisie en online.

De voorbeschouwing op NOS.nl begint om 20.00 uur.",2023-01-01,2023-11-01,2023-11-13
42791116,'Het ministerie van Kaag staat bekend om de trage afhandeling van WOO-verzoeken',NOS.nl,2023-11-13,Twee onderzoeksjournalisten van Follow The Money hebben last van de trage afhandelingen van WOO-verzoeken door D66-ministers.,2023-01-01,2023-11-01,2023-11-13
42791131,"Eerste reactie Geert Wilders: 'Met 35 zetels willen we, en gaan we ook besturen'",NOS.nl,2023-11-22,"De PVV kwam als grootste partij uit de bus in de exitpoll van onderzoeksbureau Ipsos, gedaan in opdracht van NOS en RTL.",2023-01-01,2023-11-01,2023-11-20
42791145,"Van Johan Cruijff Arena naar partytent, Ajax vol vertrouwen naar AS Roma",NOS.nl,2023-11-22,"Ajax kende een droomstart in de groepsfase van de Champions League, maar de landskampioen staat een dag voor het tweede pouleduel met AS Roma weer met beide benen op de grond.

Afgelopen weekeinde verloor de landskampioen de eredivisietopper tegen FC Twente met 1-0. ""Dat zorgde wel voor een deukje in de sfeer"", vertelt coach Suzanne Bakker een dag voor de wedstrijd in Rome. ""Maar het is ook heel fijn dat we nu tegen Roma mogen spelen, dan kunnen we Twente uit ons hoofd zetten.""

Het Champions League-duel tussen AS Roma en Ajax is donderdagavond live te zien bij de NOS, op televisie bij NPO 3 en via een livestream op NOS.nl en in de NOS-app.

Om 20.35 uur beginnen we de uitzending met een voorbeschouwing. De wedstrijd begint om 21.00 uur.

De ploeg van Bakker debuteerde vorige week in de nieuw opgezette groepsfase van de Champions League met een sensationele 2-0 zege op Paris Saint-Germain. ""Dat was natuurlijk een topprestatie. Dat geeft enorm veel vertrouwen richting deze wedstrijd. Maar dit is weer een wedstrijd op zich. We beginnen weer op 0-0"", aldus de 37-jarige coach.

Partytent

Bakker en speelster Nadine Noordam geven hun interview voor de NOS-camera langs het veld van het Stadio Tre Fontane, de thuisbasis van de vrouwen van AS Roma. Het complex biedt plaats aan nog geen 3.000 toeschouwers; een flink contrast met vorige week, toen Ajax in de Johan Cruijff Arena speelde.

En hoewel de Ajax-speelsters na de wedstrijd tegen PSG in het middelpunt van de belangstelling stonden, is dat in Rome wel anders. Omdat er naast de NOS één ander medium aanwezig was, werd de geplande persconferentie van Ajax afgeblazen. Die van AS Roma vond eerder op de dag plaats in een witte partytent bij het veld.

De knappe zege tegen de Franse topploeg zorgde afgelopen week voor veel extra aandacht voor de Ajax-speelsters. Dat is mooi, vindt Bakker, maar het brengt ook nieuwe uitdagingen met zich mee.

""Wanneer beantwoord je berichten op sociale media en wanneer is de focus op de training of wedstijd? Dat zijn allemaal nieuwe dingen die we ervaren, delen met elkaar. En waar iedereen zijn eigen weg in vindt.""

Ook het drukke speelschema is voor de meesten nieuw: het duel met AS Roma is voor Ajax de derde grote wedstrijd in negen dagen. Om haar ploeg daar nog beter op voor te bereiden, zocht Bakker contact met collega-trainers met Europese ervaring, zoals Dave Vos van Jong Ajax. ""Dat waardeer ik enorm, daar doen we ons voordeel mee.""

Counter

Ajax treft donderdag met AS Roma een ""ervaren ploeg die in de counter levensgevaarlijk kan zijn"", aldus Bakker. Zowel Bakker als Noordam spreken het doel voor de wedstrijd vol vertrouwen uit. ""Winnen. Ik denk dat dat duidelijk is: het resultaat telt. We zijn goed voorbereid, hebben er zin in.""

Noordam: ""Er komt wel een stukje spanning bij kijken, het zijn grote wedstrijden. Maar dit is wel de reden waarom ik op voetbal ben gegaan. Als je tegen mij als jong meisje had gezegd dat ik in de Champions League had mogen spelen, dan had ik je voor gek verklaard. Daarom: hier moet je vooral van genieten.""",2023-01-01,2023-11-01,2023-11-20
